phase	dataset	nb_teachers	teacher_epochs	noise_scale	epsilon_target	wall_time_s	status	log_file
teacher	mnist	100	10	-	-	9.09	OK	teachers_mnist_t100_e10.log:teacher_0
teacher	mnist	100	10	-	-	8.66	OK	teachers_mnist_t100_e10.log:teacher_1
teacher	mnist	100	10	-	-	8.99	OK	teachers_mnist_t100_e10.log:teacher_2
teacher	mnist	100	10	-	-	9.40	OK	teachers_mnist_t100_e10.log:teacher_3
teacher	mnist	100	10	-	-	9.21	OK	teachers_mnist_t100_e10.log:teacher_4
teacher	mnist	100	10	-	-	9.53	OK	teachers_mnist_t100_e10.log:teacher_5
teacher	mnist	100	10	-	-	8.47	OK	teachers_mnist_t100_e10.log:teacher_6
teacher	mnist	100	10	-	-	9.63	OK	teachers_mnist_t100_e10.log:teacher_7
teacher	mnist	100	10	-	-	9.11	OK	teachers_mnist_t100_e10.log:teacher_8
teacher	mnist	100	10	-	-	8.96	OK	teachers_mnist_t100_e10.log:teacher_9
teacher	mnist	100	10	-	-	9.41	OK	teachers_mnist_t100_e10.log:teacher_10
teacher	mnist	100	10	-	-	9.28	OK	teachers_mnist_t100_e10.log:teacher_11
teacher	mnist	100	10	-	-	9.08	OK	teachers_mnist_t100_e10.log:teacher_12
teacher	mnist	100	10	-	-	9.26	OK	teachers_mnist_t100_e10.log:teacher_13
teacher	mnist	100	10	-	-	9.36	OK	teachers_mnist_t100_e10.log:teacher_14
teacher	mnist	100	10	-	-	9.55	OK	teachers_mnist_t100_e10.log:teacher_15
teacher	mnist	100	10	-	-	9.33	OK	teachers_mnist_t100_e10.log:teacher_16
teacher	mnist	100	10	-	-	9.57	OK	teachers_mnist_t100_e10.log:teacher_17
teacher	mnist	100	10	-	-	9.12	OK	teachers_mnist_t100_e10.log:teacher_18
teacher	mnist	100	10	-	-	9.07	OK	teachers_mnist_t100_e10.log:teacher_19
teacher	mnist	100	10	-	-	9.70	OK	teachers_mnist_t100_e10.log:teacher_20
teacher	mnist	100	10	-	-	9.00	OK	teachers_mnist_t100_e10.log:teacher_21
teacher	mnist	100	10	-	-	8.96	OK	teachers_mnist_t100_e10.log:teacher_22
teacher	mnist	100	10	-	-	9.32	OK	teachers_mnist_t100_e10.log:teacher_23
teacher	mnist	100	10	-	-	9.66	OK	teachers_mnist_t100_e10.log:teacher_24
teacher	mnist	100	10	-	-	8.71	OK	teachers_mnist_t100_e10.log:teacher_25
teacher	mnist	100	10	-	-	9.27	OK	teachers_mnist_t100_e10.log:teacher_26
teacher	mnist	100	10	-	-	8.51	OK	teachers_mnist_t100_e10.log:teacher_27
teacher	mnist	100	10	-	-	8.94	OK	teachers_mnist_t100_e10.log:teacher_28
teacher	mnist	100	10	-	-	8.59	OK	teachers_mnist_t100_e10.log:teacher_29
teacher	mnist	100	10	-	-	8.97	OK	teachers_mnist_t100_e10.log:teacher_30
teacher	mnist	100	10	-	-	9.52	OK	teachers_mnist_t100_e10.log:teacher_31
teacher	mnist	100	10	-	-	9.05	OK	teachers_mnist_t100_e10.log:teacher_32
teacher	mnist	100	10	-	-	9.24	OK	teachers_mnist_t100_e10.log:teacher_33
teacher	mnist	100	10	-	-	9.64	OK	teachers_mnist_t100_e10.log:teacher_34
