dataset	nb_teachers	target_eps	sigma	achieved_eps	accuracy	wall_time_s	status
mnist	50	1	220.0	0.9961	0.1583	3.26	OK
mnist	50	4	58.0	3.9997	0.3404	3.19	OK
mnist	50	8	31.0	7.9720	0.6612	2.92	OK
mnist	100	1	220.0	0.9961	0.2203	3.13	OK
mnist	100	4	58.0	3.9997	0.6867	3.14	OK
mnist	100	8	31.0	7.9720	0.9100	3.14	OK
mnist	200	1	220.0	0.9961	0.3181	3.04	OK
mnist	200	4	58.0	3.9997	0.8952	3.13	OK
mnist	200	8	48.0	4.9068	0.9026	3.12	OK
svhn	50	1	220.0	0.9961	0.1401	4.13	OK
svhn	50	4	58.0	3.9997	0.2230	4.08	OK
svhn	50	8	31.0	7.9720	0.3435	4.11	OK
svhn	100	1	220.0	0.9961	0.1532	4.12	OK
svhn	100	4	58.0	3.9997	0.3607	4.06	OK
svhn	100	8	31.0	7.9720	0.5726	4.09	OK
svhn	200	1	220.0	0.9961	0.1949	4.09	OK
svhn	200	4	58.0	3.9997	0.5133	4.14	OK
svhn	200	8	29.9	8.0464	0.6252	4.76	OK
cifar10	50	1	220.0	0.9961	0.1146	4.55	OK
cifar10	50	4	58.0	3.9997	0.1861	4.48	OK
cifar10	50	8	31.0	7.9720	0.2894	5.13	OK
cifar10	100	1	220.0	0.9961	0.1346	5.64	OK
cifar10	100	4	58.0	3.9997	0.2686	4.94	OK
cifar10	100	8	31.0	7.9720	0.4177	4.59	OK
cifar10	200	1	220.0	0.9961	0.1728	8.27	OK
cifar10	200	4	58.0	3.9997	0.3600	7.81	OK
cifar10	200	8	31.9	8.0446	0.4550	8.44	OK
